Date,Tournament,Round,Home Team,Away Team,Home Score,Away Score,Home Tries,Away Tries,Home Points,Away Points,Venue,Neutral,Home Rank,Away Rank,Home Elo,Away Elo
2011-08-06,WU,,ENG,WAL,23,19,2,3,4,1,"Twickenham, London",0,4,7,1960,1930
2011-08-06,WU,,SCO,IRE,10,6,1,0,4,1,"Murrayfield, Edinburgh",0,9,6,1910,1940
2011-08-13,"3N,MP",a,SAF,AUS,9,14,0,1,1,4,"Kings Park Stadium, Durban",0,3,2,1970,1980
2011-08-13,WU,,ITA,JAP,31,24,4,3,5,1,Cesena,0,11,13,1890,1870
2011-08-13,WU,,WAL,ENG,19,9,1,0,4,0,"Millennium Stadium, Cardiff",0,7,5,1930,1950
2011-08-13,WU,,FRA,IRE,19,12,1,0,4,1,"Stade Municipal, Bordeaux",0,4,6,1960,1940
2011-08-20,"3N,FC",,SAF,NZL,18,5,0,1,4,0,"N. Mandela Bay, Pt Elizabeth",0,3,1,1970,1990
2011-08-20,WU,,WAL,ARG,28,13,3,1,4,0,"Millennium Stadium, Cardiff",0,6,9,1940,1910
2011-08-20,WU,,SCO,ITA,23,12,2,2,4,0,"Murrayfield, Edinburgh",0,8,11,1920,1890
2011-08-20,WU,,IRE,FRA,22,26,2,1,1,4,"Lansdowne Rd, Dublin",0,7,4,1930,1960
2011-08-27,"3N,BC",n,AUS,NZL,25,20,3,2,4,1,"Suncorp Stadium, Brisbane",0,2,1,1980,1990
2011-08-27,WU,,IRE,ENG,9,20,0,2,0,4,"Lansdowne Rd, Dublin",0,8,5,1920,1950
2011-09-09,WC,Pool A,NZL,TON,41,10,6,1,5,0,"Eden Park, Auckland",0,1,12,1990,1880
2011-09-10,WC,Pool B,SCO,ROM,34,24,4,2,5,0,Invercargill,1,7,17,1930,1830
2011-09-10,WC,Pool D,FIJ,NAM,49,25,6,2,5,0,Rotorua,1,15,20,1850,1800
2011-09-10,WC,Pool A,FRA,JAP,47,21,6,2,5,0,Albany,1,5,13,1950,1870
2011-09-10,WC,Pool B,ARG,ENG,9,13,0,1,1,4,"Otago Stadium, Dunedin",1,9,4,1910,1960
2011-09-11,WC,Pool C,AUS,ITA,32,6,4,0,5,0,Albany,1,2,11,1980,1890
2011-09-11,WC,Pool C,IRE,USA,22,10,3,1,4,0,New Plymouth,1,8,18,1920,1820
2011-09-11,WC,Pool D,SAF,WAL,17,16,2,1,4,1,"Westpac Trust, Wellington",1,3,6,1970,1940
2011-09-14,WC,Pool D,SAM,NAM,49,12,6,2,5,0,Rotorua,1,10,20,1900,1800
2011-09-14,WC,Pool A,TON,CAN,20,25,2,3,1,4,Whangarei,1,12,14,1880,1860
2011-09-14,WC,Pool B,SCO,GEO,15,6,0,0,4,0,"Otago Stadium, Dunedin",1,7,16,1930,1840
2011-09-15,WC,Pool C,RUS,USA,6,13,0,1,1,4,New Plymouth,1,19,18,1810,1820
2011-09-16,WC,Pool A,NZL,JAP,83,7,13,1,5,0,"Rugby Park, Hamilton",0,1,13,1990,1870
2011-09-17,WC,Pool B,ARG,ROM,43,8,6,1,5,0,Invercargill,1,9,18,1910,1820
2011-09-17,WC,Pool D,SAF,FIJ,49,3,6,0,5,0,"Westpac Trust, Wellington",1,2,14,1980,1860
2011-09-17,WC,Pool C,AUS,IRE,6,15,0,0,0,4,"Eden Park, Auckland",1,3,6,1970,1940
2011-09-18,WC,Pool D,WAL,SAM,17,10,1,1,4,1,"Rugby Park, Hamilton",1,7,12,1930,1880
2011-09-18,WC,Pool B,ENG,GEO,41,10,6,1,5,0,"Otago Stadium, Dunedin",1,4,16,1960,1840
2011-09-18,WC,Pool A,FRA,CAN,46,19,4,1,5,0,Napier,1,5,11,1950,1890
2011-09-20,WC,Pool C,ITA,RUS,53,17,9,3,5,0,"Trafalgar Park, Nelson",1,10,21,1900,1790
2011-09-21,WC,Pool A,TON,JAP,31,18,3,3,4,0,Whangarei,1,15,13,1850,1870
2011-09-22,WC,Pool D,SAF,NAM,87,0,12,0,5,0,Albany,1,2,19,1980,1810
2011-09-23,WC,Pool C,AUS,USA,67,5,11,1,5,0,"Westpac Trust, Wellington",1,3,17,1970,1830
2011-09-24,WC,Pool B,ENG,ROM,67,3,10,0,5,0,"Otago Stadium, Dunedin",1,4,18,1960,1820
2011-09-24,WC,Pool A,NZL,FRA,37,17,5,2,5,0,"Eden Park, Auckland",0,1,5,1990,1950
2011-09-25,WC,Pool D,FIJ,SAM,7,27,1,2,0,4,"Eden Park, Auckland",1,16,10,1840,1900
2011-09-25,WC,Pool C,IRE,RUS,62,12,9,2,5,0,Rotorua,1,6,21,1940,1790
2011-09-25,WC,Pool B,ARG,SCO,13,12,1,0,4,1,"Westpac Trust, Wellington",1,8,9,1920,1910
2011-09-26,WC,Pool D,WAL,NAM,81,7,12,1,5,0,New Plymouth,1,7,19,1930,1810
2011-09-27,WC,Pool A,CAN,JAP,23,23,3,2,2,2,Napier,1,12,15,1880,1850
2011-09-27,WC,Pool C,ITA,USA,27,10,4,1,5,0,"Trafalgar Park, Nelson",1,11,17,1890,1830
2011-09-28,WC,Pool B,GEO,ROM,25,9,1,0,4,0,"FMG Stadium, Palmerston North",1,14,18,1860,1820
2011-09-30,WC,Pool D,SAF,SAM,13,5,1,1,4,0,Albany,1,2,11,1980,1890
2011-10-01,WC,Pool C,AUS,RUS,68,22,10,3,5,0,"Trafalgar Park, Nelson",1,3,21,1970,1790
2011-10-01,WC,Pool A,FRA,TON,14,19,1,1,1,4,"Westpac Trust, Wellington",1,8,9,1920,1910
2011-10-01,WC,Pool B,ENG,SCO,16,12,1,0,4,1,"Eden Park, Auckland",1,4,10,1960,1900
